Timestamp,"What is your major? (Double majors please pick your ""primary"" major.)",Which of the following do you prefer?,Have you taken a probability and statistics course before?,Which of the following best describes your current feeling about EK381?,What is your preferred caffeine source?,At what age did you get your first smartphone?,"How many countries have you visited? (Please provide your answer as a number, not a list of countries.)","Rate the following movies. (A bit of a random mix, but hopefully you've heard of most of them.) [Loved it! ]","Rate the following movies. (A bit of a random mix, but hopefully you've heard of most of them.) [Liked it.]","Rate the following movies. (A bit of a random mix, but hopefully you've heard of most of them.) [Just OK.]","Rate the following movies. (A bit of a random mix, but hopefully you've heard of most of them.) [Didn't like it.]","Rate the following movies. (A bit of a random mix, but hopefully you've heard of most of them.) [Hated it!]","Rate the following movies. (A bit of a random mix, but hopefully you've heard of most of them.) [Never seen it.]",Optional: What was an aspect of a previous course that really helped you succeed?,How would you rate your understanding of Python programming?,Optional: Any suggestions for how we can make this a good semester?
8/31/2024 21:00:26,EE,Pen-and-paper math,Yes,Excited to learn foundational probability/statistics concepts.,Coffee,18+,25,Avengers: Endgame,"Barbie, Die Hard","Deadpool and Wolverine, Dune, Encanto, Inside Out 2, Interstellar, My Neighbor Totoro","Booksmart, Everything Everywhere All at Once, Jurassic Park, Star Wars: A New Hope, The Matrix, To All The Boys I've Loved",Oppenheimer,"Knives Out, Lady Bird, Mad Max: Fury Road, Poor Things",,,
9/1/2024 12:26:52,EE,Writing reports and making presentations,No,Just want to get through the semester.,Energy Drink,10,4,"Barbie, Dune, Encanto, Everything Everywhere All at Once, Inside Out 2, Jurassic Park, My Neighbor Totoro, Spider-Man: Into the Spiderverse",,,"Get Out, Back to the Future, Knives Out, Lady Bird, Mad Max: Fury Road, To All The Boys I've Loved","Avengers: Endgame, Die Hard, Oppenheimer, Poor Things, Star Wars: A New Hope, The Matrix","Booksmart, Deadpool and Wolverine, Interstellar",,I have never used Python.,
9/1/2024 12:27:42,ME,Programming algorithms,No,Excited to learn foundational probability/statistics concepts.,Tea,13,7,"Interstellar, Spider-Man: Into the Spiderverse, Star Wars: A New Hope","Deadpool and Wolverine, Jurassic Park",The Matrix,Oppenheimer,,"Avengers: Endgame, Barbie, Booksmart, Die Hard, Dune, Encanto, Everything Everywhere All at Once, Get Out, Inside Out 2, Back to the Future, Knives Out, Lady Bird, Mad Max: Fury Road, My Neighbor Totoro, Poor Things, To All The Boys I've Loved",,Beginner,
9/1/2024 12:28:20,BME,Pen-and-paper math,No,Excited to learn about machine learning and data analysis.,Tea,16,4,,Knives Out,Inside Out 2,,,"Avengers: Endgame, Barbie, Booksmart, Deadpool and Wolverine, Die Hard, Dune, Encanto, Everything Everywhere All at Once, Get Out, Interstellar, Jurassic Park, Back to the Future, Lady Bird, Mad Max: Fury Road, My Neighbor Totoro, Oppenheimer, Poor Things, Spider-Man: Into the Spiderverse, Star Wars: A New Hope, The Matrix, To All The Boys I've Loved",,Beginner,
9/1/2024 12:28:58,ME,Pen-and-paper math,No,Hoping to get a good grade.,I don't drink caffeinated drinks.,12,14,"Booksmart, Die Hard, Get Out, Back to the Future, Knives Out, My Neighbor Totoro, Spider-Man: Into the Spiderverse, Star Wars: A New Hope, The Matrix","Avengers: Endgame, Jurassic Park","Barbie, Encanto, Everything Everywhere All at Once, Inside Out 2, Oppenheimer","Dune, Interstellar",Deadpool and Wolverine,"Lady Bird, Mad Max: Fury Road, Poor Things, To All The Boys I've Loved",,Expert,
9/1/2024 12:29:01,BME,Pen-and-paper math,No,Excited to learn about machine learning and data analysis.,Coffee,12,4,"Dune, Jurassic Park, Back to the Future, My Neighbor Totoro, Oppenheimer, Spider-Man: Into the Spiderverse, The Matrix","Avengers: Endgame, Barbie, Die Hard, Get Out, Interstellar, Star Wars: A New Hope, To All The Boys I've Loved","Inside Out 2, Lady Bird",,,"Booksmart, Deadpool and Wolverine, Encanto, Everything Everywhere All at Once, Knives Out, Mad Max: Fury Road, Poor Things",Office hours and example problems in class,I have never used Python.,
9/1/2024 12:35:09,ME,Pen-and-paper math,No,Excited to learn foundational probability/statistics concepts.,Coffee,14,5,"Avengers: Endgame, Deadpool and Wolverine, Everything Everywhere All at Once, Back to the Future, Mad Max: Fury Road, Spider-Man: Into the Spiderverse, Star Wars: A New Hope, The Matrix","Die Hard, Jurassic Park, Oppenheimer",,,,"Barbie, Booksmart, Dune, Encanto, Get Out, Inside Out 2, Interstellar, Knives Out, Lady Bird, My Neighbor Totoro, Poor Things, To All The Boys I've Loved",Taking the time in class to ensure that everyone was on the same page and had full understanding of the material. ,I have never used Python.,
9/1/2024 12:36:19,BME,"Collecting data (in a ""wet lab"" or other setting)",No,Excited to learn about machine learning and data analysis.,Coffee,12,10,Get Out,"Barbie, Inside Out 2, Jurassic Park, Knives Out, Lady Bird, Oppenheimer, Spider-Man: Into the Spiderverse","Avengers: Endgame, Encanto, Everything Everywhere All at Once, Mad Max: Fury Road, Star Wars: A New Hope, The Matrix",To All The Boys I've Loved,,"Booksmart, Deadpool and Wolverine, Die Hard, Dune, Interstellar, Back to the Future, My Neighbor Totoro, Poor Things",Larger optional TA discussions,Beginner,
9/1/2024 12:37:25,BME,Writing reports and making presentations,No,Hoping to get a good grade.,Coffee,12,12,"Avengers: Endgame, Deadpool and Wolverine, Dune",,,,,"Barbie, Booksmart, Die Hard, Encanto, Everything Everywhere All at Once","One aspect of a previous course, EK 125 and CH 204, involved how looking at the material every day helped me to succeed in exams overall, even during weeks in which there were not any midterms approaching. ",I have never used Python.,
9/1/2024 12:39:46,BME,Pen-and-paper math,No,Excited to learn about machine learning and data analysis.,Energy Drink,15,3,"Interstellar, Mad Max: Fury Road, Oppenheimer","Avengers: Endgame, Deadpool and Wolverine, Dune, Get Out, Back to the Future, Spider-Man: Into the Spiderverse, The Matrix","Barbie, Die Hard, Jurassic Park",,,"Booksmart, Encanto, Everything Everywhere All at Once, Inside Out 2, Knives Out, Lady Bird, My Neighbor Totoro, Poor Things, Star Wars: A New Hope, To All The Boys I've Loved",Mock problems/ or going over problems in class ,I have never used Python.,
9/1/2024 12:41:35,BME,"Collecting data (in a ""wet lab"" or other setting)",No,Excited to learn foundational probability/statistics concepts.,I don't drink caffeinated drinks.,13,11,"Avengers: Endgame, Deadpool and Wolverine, Dune, Interstellar, Oppenheimer, Spider-Man: Into the Spiderverse, Star Wars: A New Hope, The Matrix","Inside Out 2, Jurassic Park, Back to the Future, My Neighbor Totoro",Die Hard,Knives Out,,"Barbie, Booksmart, Encanto, Everything Everywhere All at Once, Get Out, Lady Bird, Mad Max: Fury Road, Poor Things, To All The Boys I've Loved",The hands on engineering courses really helped me get a feel for machinery and creating products ,I have never used Python.,
9/1/2024 12:43:12,CE,"Collecting data (in a ""wet lab"" or other setting)",No,Just want to get through the semester.,Tea,14,10,"Barbie, Everything Everywhere All at Once, My Neighbor Totoro, Spider-Man: Into the Spiderverse","Avengers: Endgame, Dune, Inside Out 2","Encanto, Knives Out, Poor Things",,,"Booksmart, Deadpool and Wolverine, Die Hard, Get Out, Interstellar, Jurassic Park, Back to the Future, Lady Bird, Mad Max: Fury Road, Oppenheimer, Star Wars: A New Hope, The Matrix, To All The Boys I've Loved",many office hours,I have never used Python.,
9/1/2024 12:43:34,BME,Pen-and-paper math,No,Excited to learn about machine learning and data analysis.,I don't drink caffeinated drinks.,13,5,"Barbie, Encanto, Everything Everywhere All at Once, Get Out, Jurassic Park, Knives Out, My Neighbor Totoro, Spider-Man: Into the Spiderverse","Avengers: Endgame, Deadpool and Wolverine, Die Hard, Interstellar, Back to the Future, Oppenheimer, The Matrix","Inside Out 2, Star Wars: A New Hope",,To All The Boys I've Loved,"Booksmart, Dune, Lady Bird, Mad Max: Fury Road, Poor Things",Professors going through problems step-by-step in class really helped me understand them better,Competent,
9/1/2024 12:46:08,CE,Programming algorithms,No,Excited to learn about machine learning and data analysis.,Energy Drink,14,6,"Inside Out 2, My Neighbor Totoro, Oppenheimer",,"Jurassic Park, To All The Boys I've Loved",Back to the Future,,"Avengers: Endgame, Barbie, Booksmart, Deadpool and Wolverine, Die Hard, Dune, Encanto, Everything Everywhere All at Once, Get Out, Interstellar, Knives Out, Lady Bird, Mad Max: Fury Road, Poor Things, Spider-Man: Into the Spiderverse, Star Wars: A New Hope, The Matrix",Good TAs and good lecturer and good motivation,I have never used Python.,
9/1/2024 12:47:16,BME,Programming algorithms,No,Excited to learn about machine learning and data analysis.,Coffee,14,2,"Deadpool and Wolverine, Inside Out 2","Barbie, Spider-Man: Into the Spiderverse","Avengers: Endgame, Die Hard, Get Out, Jurassic Park, Back to the Future, To All The Boys I've Loved",,Encanto,"Booksmart, Dune, Everything Everywhere All at Once, Interstellar, Knives Out, Lady Bird, Mad Max: Fury Road, My Neighbor Totoro, Oppenheimer, Poor Things, Star Wars: A New Hope, The Matrix",breaks during class,Beginner,
