major,smartphone age,number countries,Avengers: Endgame,Back to the Future,Barbie,Booksmart,Deadpool and Wolverine,Die Hard,Dune,Encanto,Everything Everywhere All at Once,Get Out,Inside Out 2,Interstellar,Jurassic Park,Knives Out,Lady Bird,Mad Max: Fury Road,My Neighbor Totoro,Oppenheimer,Poor Things,Spider-Man: Into the Spiderverse,Star Wars: A New Hope,The Matrix,To All The Boys I've Loved
EE,18,25.0,5,,4,2,3,4,3,3,2,,3,3,2,,,,3,1,,,2,2,2
EE,10,4.0,1,2,5,,,1,5,5,5,2,5,,5,2,2,2,5,1,1,5,1,1,2
ME,13,7.0,,,,,4,,,,,,,5,4,,,,,2,,5,5,3,
BME,16,4.0,,,,,,,,,,,3,,,4,,,,,,,,,
ME,12,14.0,4,5,3,5,1,5,2,3,3,5,3,2,4,5,,,5,3,,5,5,5,
BME,12,4.0,4,5,4,,,4,5,,,4,3,4,5,,3,,5,5,,5,4,5,4
ME,14,5.0,5,5,,,5,4,,,5,,,,4,,,5,,4,,5,5,5,
BME,12,10.0,3,,4,,,,,3,3,5,4,,4,4,4,3,,4,,4,3,3,2
BME,12,12.0,5,,,,5,,5,,,,,,,,,,,,,,,,
BME,15,3.0,4,4,3,,4,3,4,,,4,,5,3,,,5,,5,,4,,4,
BME,13,11.0,5,4,,,5,3,5,,,,4,5,4,2,,,4,5,,5,5,5,
CE,14,10.0,4,,5,,,,4,3,5,,4,,,3,,,5,,3,5,,,
BME,13,5.0,4,4,5,,4,4,,5,5,5,3,4,5,5,,,5,4,,5,3,4,1
CE,14,6.0,,2,,,,,,,,,5,,3,,,,5,5,,,,,3
BME,14,2.0,3,3,4,,5,3,,1,,3,5,,3,,,,,,,4,,,3
BME,12,9.0,,,4,,,,,,,,,2,,5,,,,5,,,3,,3
CE,11,5.0,,,5,,,,,4,5,,,,,,,,,,,,,,
ME,13,7.0,5,,4,,,,5,,,,,,,,,,,,,,,,
ME,10,,,,,,,,,,,,,,,,,,,,,,,,
BME,10,12.0,5,,4,,,,4,4,,,,,,,,,,,,,,,
ME,13,1.0,5,,5,4,,,4,4,,,,,,,,,,,,,,,
EE,17,,5,,3,3,5,3,5,3,3,,,,,,,,,,,,,,
EE,10,2.0,5,,,,5,,4,,,,,,,,,,,,,,,,
EE,14,9.0,,,3,,,,4,,,,,,,,,,,,,,,,
BME,10,10.0,,,3,,,,2,5,5,,,,,,,,,,,,,,
EE,10,12.0,,,,,,,,,,,,,,,,,,,,,,,
BME,13,10.0,2,,2,,,,,5,,,,,,,,,,,,,,,
CE,11,15.0,5,4,,,,4,,5,,5,,,4,3,,,4,,,5,5,4,
ME,12,1.0,5,3,1,,1,,4,5,5,3,5,5,3,4,,4,,5,,5,3,3,
BME,9,3.0,,4,4,,,,,4,,,,,3,,,,5,,,,,,
BME,12,5.0,,,5,,,,,5,,,,3,,5,,5,5,4,,5,,,
BME,12,20.0,,,3,,,,,,,,,,,,,,,,,,,,
CE,15,,5,,5,,,,,5,,,5,2,,5,,,,2,,,,,5
BME,10,1.0,4,4,4,4,4,,,5,5,5,,4,4,,5,,5,5,,5,,4,3
CE,9,16.0,4,,4,,,,,,4,,,,3,5,,,4,,,,,,4
BME,12,2.0,5,,4,,,3,4,4,,,,,,,,,,,,,,,
BME,9,7.0,4,,5,,,5,4,5,,,,,,,,,,,,,,,
ME,12,0.0,,,4,,,,,3,,,,,,,,,,,,,,,
