SEASON_YEAR,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,PTS
2010-11,Boston Celtics,21000001,2010-10-26T00:00:00,BOS vs. MIA,W,88
2010-11,Miami Heat,21000001,2010-10-26T00:00:00,MIA @ BOS,L,80
2010-11,Phoenix Suns,21000002,2010-10-26T00:00:00,PHX @ POR,L,92
2010-11,Portland Trail Blazers,21000002,2010-10-26T00:00:00,POR vs. PHX,W,106
2010-11,Houston Rockets,21000003,2010-10-26T00:00:00,HOU @ LAL,L,110
2010-11,Los Angeles Lakers,21000003,2010-10-26T00:00:00,LAL vs. HOU,W,112
2010-11,Boston Celtics,21000004,2010-10-27T00:00:00,BOS @ CLE,L,87
2010-11,Cleveland Cavaliers,21000004,2010-10-27T00:00:00,CLE vs. BOS,W,95
2010-11,Detroit Pistons,21000005,2010-10-27T00:00:00,DET @ NJN,L,98
2010-11,New Jersey Nets,21000005,2010-10-27T00:00:00,NJN vs. DET,W,101
2010-11,Miami Heat,21000006,2010-10-27T00:00:00,MIA @ PHI,W,97
2010-11,Philadelphia 76ers,21000006,2010-10-27T00:00:00,PHI vs. MIA,L,87
2010-11,New York Knicks,21000007,2010-10-27T00:00:00,NYK @ TOR,W,98
2010-11,Toronto Raptors,21000007,2010-10-27T00:00:00,TOR vs. NYK,L,93
2010-11,Atlanta Hawks,21000008,2010-10-27T00:00:00,ATL @ MEM,W,119
2010-11,Memphis Grizzlies,21000008,2010-10-27T00:00:00,MEM vs. ATL,L,104
2010-11,Minnesota Timberwolves,21000009,2010-10-27T00:00:00,MIN vs. SAC,L,116
2010-11,Sacramento Kings,21000009,2010-10-27T00:00:00,SAC @ MIN,W,117
2010-11,Milwaukee Bucks,21000010,2010-10-27T00:00:00,MIL @ NOH,L,91
2010-11,New Orleans Hornets,21000010,2010-10-27T00:00:00,NOH vs. MIL,W,95
2010-11,Chicago Bulls,21000011,2010-10-27T00:00:00,CHI @ OKC,L,95
2010-11,Oklahoma City Thunder,21000011,2010-10-27T00:00:00,OKC vs. CHI,W,106
2010-11,Charlotte Bobcats,21000012,2010-10-27T00:00:00,CHA @ DAL,L,86
2010-11,Dallas Mavericks,21000012,2010-10-27T00:00:00,DAL vs. CHA,W,101
2010-11,Indiana Pacers,21000013,2010-10-27T00:00:00,IND @ SAS,L,109
2010-11,San Antonio Spurs,21000013,2010-10-27T00:00:00,SAS vs. IND,W,122
2010-11,Denver Nuggets,21000014,2010-10-27T00:00:00,DEN vs. UTA,W,110
2010-11,Utah Jazz,21000014,2010-10-27T00:00:00,UTA @ DEN,L,88
2010-11,Golden State Warriors,21000015,2010-10-27T00:00:00,GSW vs. HOU,W,132
2010-11,Houston Rockets,21000015,2010-10-27T00:00:00,HOU @ GSW,L,128
2010-11,Los Angeles Clippers,21000016,2010-10-27T00:00:00,LAC vs. POR,L,88
2010-11,Portland Trail Blazers,21000016,2010-10-27T00:00:00,POR @ LAC,W,98
2010-11,Orlando Magic,21000017,2010-10-28T00:00:00,ORL vs. WAS,W,112
2010-11,Washington Wizards,21000017,2010-10-28T00:00:00,WAS @ ORL,L,83
2010-11,Phoenix Suns,21000018,2010-10-28T00:00:00,PHX @ UTA,W,110
2010-11,Utah Jazz,21000018,2010-10-28T00:00:00,UTA vs. PHX,L,94
2010-11,Charlotte Bobcats,21000019,2010-10-29T00:00:00,CHA vs. IND,L,101
2010-11,Indiana Pacers,21000019,2010-10-29T00:00:00,IND @ CHA,W,104
2010-11,New Jersey Nets,21000020,2010-10-29T00:00:00,NJN vs. SAC,W,106
